name,lat,long,link,administrative_district,geohash
台六一線-22-0610-136-001,24.38982235,120.5989696,https://cctv-ss04.thb.gov.tw:443/T61-136K+950,"臺中市, 大安區",wsmfb213
台61橋下道路-138-001,24.37837448,120.5917864,https://cctv-ss07.thb.gov.tw:443/T61-138K+700(S),"臺中市, 大安區",wsmf8juq
台61橋下道路-138-002,24.37833745,120.5920344,https://cctv-ss07.thb.gov.tw:443/T61-138K+700(N),"臺中市, 大安區",wsmf8juq
台61線-139-002,24.37405776,120.5896633,https://cctv-ss04.thb.gov.tw:443/T61-139K+000,"臺中市, 大安區",wsmf8j4t
台61線-22-0610-139-001,24.37294645,120.5880695,https://cctv-ss04.thb.gov.tw:443/T61-139K+250,"臺中市, 大安區",wsmf8hcw
台61線-22-0610-141-001,24.35540304,120.5832564,https://cctv-ss04.thb.gov.tw:443/T61-141K+200,"臺中市, 大安區",wsmdxcy0
國道3號-N3-N-157.650-M-大甲南地磅站,24.38755023,120.6676908,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=420,臺中市,wsmf9zee
國道3號-N3-S-158.751-M,24.37981541,120.6658616,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=258,臺中市,wsmf9y4n
國道3號-N3-N-159.500-M-大甲北地磅站,24.37222367,120.6645458,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=421,臺中市,wsmf9uc4
國道3號-N3-N-159.840-M,24.36997599,120.6640615,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=422,臺中市,wsmf9u2v
台一線-22-0010-150-001,24.36700049,120.6424885,https://cctv-ss03.thb.gov.tw:443/T1-150K+245,臺中市,wsmf97ch
台一線-22-0010-156-001,24.3248413,120.6076106,https://cctv-ss03.thb.gov.tw:443/T1-156K+650,臺中市,wsmf2kpy
國道3號-N3-N-161.310-M,24.35711563,120.6613307,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=590,"臺中市, 外埔區",wsmf9dnf
國道3號-N3-S-162.780-M,24.34473384,120.6552584,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=25,"臺中市, 外埔區",wsmf3xf6
國道3號-N3-N-164-O-N-1,24.338153,120.6465272,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=259,"臺中市, 外埔區",wsmf3qsh
國道3號-N3-N-164.780-M,24.335684,120.6386918,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=474,"臺中市, 外埔區",wsmf3nnm
國道3號-N3-S-166.057-M,24.33025273,120.6282457,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=365,"臺中市, 外埔區",wsmf2vnv
國道3號-N3-N-166.200-M,24.32871961,120.6267932,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=475,"臺中市, 外埔區",wsmf2uvv
國道3號-N3-N-166.292-M,24.32808709,120.6261342,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=558,"臺中市, 外埔區",wsmf2uv3
國道3號-N3-S-167.514-M,24.31849953,120.6205094,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=499,"臺中市, 清水區",wsmf2g11
國道1號-N1-S-156.025-M,24.34846848,120.7277334,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=199,"苗栗縣, 三義鄉",wsmfe0x2
國道1號-N1-N-157.040-M,24.34014289,120.7215782,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=571,"臺中市, 后里區",wsmf7nfz
國道1號-N1-N-158.055-M,24.333088,120.717405,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=200,"臺中市, 后里區",wsmf6vxw
國道1號-N1-S-158.870-M,24.32730309,120.7125283,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=1,"臺中市, 后里區",wsmf6ush
泰安服務區-小車區-N1-S-158.570-R,24.33063147,120.7117567,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=541,"臺中市, 后里區",wsmf6v78
